employee_id,worker_gln,tenant_id,home_department_id,position_id,primary_occupation_id,given_name,family_name,employment_status,contract_fte,hire_date,primary_language,additional_languages,canton,work_id_ref
EMP-CN-0001,7601190000011,CN,CN-D1,POS-CN-D1-RN,OCC-RN,Kai,Roth,active,1.0,2023-02-02,DE-C1,,HN,WID-2E7D952B
EMP-CN-0002,7601190000028,CN,CN-D1,POS-CN-D1-RN,OCC-RN,Elena,Frei,active_parttime,1.0,2021-04-25,DE-C1,,HN,
EMP-CN-0003,7601190000035,CN,CN-D1,POS-CN-D1-RN,OCC-RN,Jana,Bühler,active,0.9,2026-01-27,DE-C1,,HN,WID-033AC4D6
EMP-CN-0004,7601190000042,CN,CN-D1,POS-CN-D1-ICU-RN,OCC-ICU-RN,Noemi,Keller,active_parttime,0.9,2018-07-04,DE-C1,,HN,
EMP-CN-0005,7601190000059,CN,CN-D1,POS-CN-D1-PHYS-CARD,OCC-PHYS-CARD,Anouk,Truniger,active,0.8,2018-02-09,DE-B2,EN-B2,HN,
EMP-CN-0006,7601190000066,CN,CN-D1,POS-CN-D1-PHYS-CARD,OCC-PHYS-CARD,Timo,Schmid,active,1.0,2023-12-15,DE-C1,,HN,
EMP-CN-0007,7601190000073,CN,CN-D1,POS-CN-D1-SCRUB,OCC-SCRUB,Larissa,Béguin,active,0.6,2024-08-14,DE-C1,,HN,
EMP-CN-0008,7601190000080,CN,CN-D2,POS-CN-D2-RN,OCC-RN,Loris,Schmid,active,0.6,2018-12-12,DE-B2,,HN,
EMP-CN-0009,7601190000097,CN,CN-D2,POS-CN-D2-RN,OCC-RN,Andrin,Kunz,active,1.0,2021-06-27,DE-C1,,HN,WID-B6F56F1C
EMP-CN-0010,7601190000103,CN,CN-D2,POS-CN-D2-RN,OCC-RN,Andrin,Aebischer,active,0.8,2023-01-06,DE-B2,,HN,WID-F997C779
EMP-CN-0011,7601190000110,CN,CN-D2,POS-CN-D2-PHYS-NEURO,OCC-PHYS-NEURO,Manuel,Schmid,active,1.0,2014-10-16,DE-C1,,HN,WID-FE99DF69
EMP-CN-0012,7601190000127,CN,CN-D2,POS-CN-D2-PHYS-NEURO,OCC-PHYS-NEURO,Nele,Béguin,active,0.8,2012-11-04,DE-C1,FR-B1,HN,
EMP-CN-0013,7601190000134,CN,CN-D3,POS-CN-D3-RN,OCC-RN,Ravi,Béguin,active,0.8,2020-03-27,DE-C1,,HN,
EMP-CN-0014,7601190000141,CN,CN-D3,POS-CN-D3-RN,OCC-RN,Meret,Locher,active,0.9,2014-12-29,DE-B2,EN-B2,HN,
EMP-CN-0015,7601190000158,CN,CN-D3,POS-CN-D3-RN,OCC-RN,Malin,Colombo,active,1.0,2022-10-16,DE-B2,,HN,WID-32FD73C5
EMP-CN-0016,7601190000165,CN,CN-D3,POS-CN-D3-RN,OCC-RN,Vera,Bernasconi,active,0.8,2025-10-13,DE-C1,FR-B1,HN,
EMP-CN-0017,7601190000172,CN,CN-D3,POS-CN-D3-PHYS-INTMED,OCC-PHYS-INTMED,Timo,Locher,active,0.8,2024-09-01,DE-B2,,HN,WID-355CCA9C
EMP-CN-0018,7601190000189,CN,CN-D3,POS-CN-D3-PHYS-INTMED,OCC-PHYS-INTMED,Lea,Vogel,active,0.8,2012-08-12,DE-B2,,HN,WID-F6121D2C
EMP-CN-0019,7601190000196,CN,CN-D3,POS-CN-D3-PHYS-ONCO,OCC-PHYS-ONCO,Manuel,Amacher,on_leave,0.8,2016-02-04,DE-C1,FR-B1,HN,
EMP-CN-0020,7601190000202,CN,CN-D3,POS-CN-D3-DISCHARGE,OCC-DISCHARGE,Boris,Truniger,active,1.0,2021-01-31,DE-C1,FR-B1;IT-B1,HN,WID-EFABCD73
EMP-CN-0021,7601190000219,CN,CN-D4,POS-CN-D4-RN,OCC-RN,Alina,Locher,active,0.8,2013-04-18,DE-C1,,HN,
EMP-CN-0022,7601190000226,CN,CN-D4,POS-CN-D4-RN,OCC-RN,Céline,Ricci,active,0.9,2016-09-20,DE-C1,EN-B2,HN,WID-BA6DBED8
EMP-CN-0023,7601190000233,CN,CN-D4,POS-CN-D4-RN,OCC-RN,Meret,Hofer,active,1.0,2023-10-08,DE-C1,,HN,
EMP-CN-0024,7601190000240,CN,CN-D4,POS-CN-D4-SCRUB,OCC-SCRUB,Jana,Caduff,active,1.0,2025-01-31,DE-B2,EN-B2,HN,
EMP-CN-0025,7601190000257,CN,CN-D4,POS-CN-D4-PHYS-SURG,OCC-PHYS-SURG,Gian,Perren,active,1.0,2017-03-23,DE-C1,EN-B2,HN,WID-1F44AA88
EMP-CN-0026,7601190000264,CN,CN-D4,POS-CN-D4-PHYS-SURG,OCC-PHYS-SURG,Nele,Gerber,active,0.9,2016-09-24,DE-C1,,HN,
EMP-CN-0027,7601190000271,CN,CN-D4,POS-CN-D4-ORCOORD,OCC-ORCOORD,Aymo,Villiger,active,0.8,2024-11-07,DE-B2,IT-B1,HN,
EMP-CN-0028,7601190000288,CN,CN-D5,POS-CN-D5-MIDWIFE,OCC-MIDWIFE,Timo,Huber,on_leave,1.0,2012-11-15,DE-C1,FR-B1,HN,
EMP-CN-0029,7601190000295,CN,CN-D5,POS-CN-D5-MIDWIFE,OCC-MIDWIFE,Vera,Widmer,active,0.8,2024-05-19,DE-C1,,HN,WID-4C7F03BB
EMP-CN-0030,7601190000301,CN,CN-D5,POS-CN-D5-RN,OCC-RN,Andrin,Zbinden,active,0.6,2019-06-29,DE-C1,,HN,WID-AAAC826E
EMP-CN-0031,7601190000318,CN,CN-D5,POS-CN-D5-RN,OCC-RN,Tabea,Keller,active,1.0,2014-02-28,DE-B2,,HN,
EMP-CN-0032,7601190000325,CN,CN-D5,POS-CN-D5-PHYS-GYN,OCC-PHYS-GYN,Jana,Odermatt,active,0.6,2019-06-08,DE-C1,,HN,
EMP-CN-0033,7601190000332,CN,CN-D5,POS-CN-D5-PHYS-PAED,OCC-PHYS-PAED,Alina,Vogel,active,1.0,2023-10-27,DE-B2,,HN,
EMP-CN-0034,7601190000349,CN,CN-D6,POS-CN-D6-MTRA,OCC-MTRA,Milena,Vogel,active,0.8,2015-04-06,DE-B2,EN-B2,HN,WID-F9287D26
EMP-CN-0035,7601190000356,CN,CN-D6,POS-CN-D6-MTRA,OCC-MTRA,Elena,Berger,active_parttime,0.9,2023-04-15,DE-B2,,HN,
EMP-CN-0036,7601190000363,CN,CN-D6,POS-CN-D6-MTRA,OCC-MTRA,Loris,Berger,active,1.0,2024-07-13,DE-B2,,HN,
